Ordered Results (Decr. SSIM) for main.py
--------------------------------------------------------------------------------
SSIM: 0.426015 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 3.0, 3.5, 4.0)
SSIM: 0.425981 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.5, 2.0, 3.0, 4.0)
SSIM: 0.425875 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.5, 2.0, 2.5, 3.0, 4.0)
SSIM: 0.425869 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.5, 2.0, 3.0, 3.5, 4.0)
SSIM: 0.425360 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.5, 2.0, 2.5, 3.0, 3.5)
SSIM: 0.425326 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.5, 2.0, 3.0, 3.5)
SSIM: 0.425231 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.5, 2.0, 2.5, 3.0)
SSIM: 0.425097 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.5, 2.0, 2.5, 3.5, 4.0)
SSIM: 0.424864 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.5, 2.0, 3.5, 4.0)
SSIM: 0.424758 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.5, 2.0, 2.5, 4.0)
SSIM: 0.422826 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.5, 2.5, 3.0, 3.5, 4.0)
SSIM: 0.422268 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.5, 2.0, 2.5, 3.5)
SSIM: 0.421951 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.5, 3.0, 3.5, 4.0)
SSIM: 0.421810 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.5, 2.5, 3.0, 4.0)
SSIM: 0.413053 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.5, 2.5, 3.0, 3.5)
SSIM: 0.401097 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 1.5, 2.5, 3.5, 4.0)
