Ordered Results (Decr. SSIM) for main.py
--------------------------------------------------------------------------------
SSIM: 0.405342 | Omega: 0.85 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.405305 | Omega: 0.85 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.404923 | Omega: 0.9 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.404911 | Omega: 0.85 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.404906 | Omega: 0.9 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.404750 | Omega: 0.85 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.404566 | Omega: 0.8 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.404516 | Omega: 0.85 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.404494 | Omega: 0.8 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.404166 | Omega: 0.8 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.404104 | Omega: 0.9 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.404002 | Omega: 0.8 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.403925 | Omega: 0.8 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.403795 | Omega: 0.8 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.403596 | Omega: 0.8 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.403523 | Omega: 0.8 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 0.5, 1.0, 2.0, 1.2)
SSIM: 0.403279 | Omega: 0.8 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.403269 | Omega: 0.8 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.403117 | Omega: 0.8 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 2.0)
SSIM: 0.403081 | Omega: 0.9 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.403074 | Omega: 0.8 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.402590 | Omega: 0.8 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.402547 | Omega: 0.9 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.402436 | Omega: 0.8 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.402231 | Omega: 0.8 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 1.0, 1.5, 2.0, 1.2)
SSIM: 0.401971 | Omega: 0.85 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.401958 | Omega: 0.85 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.401067 | Omega: 0.85 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.399958 | Omega: 0.85 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.399591 | Omega: 0.8 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.399587 | Omega: 0.8 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.399412 | Omega: 0.85 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.398698 | Omega: 0.8 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.397553 | Omega: 0.8 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.397405 | Omega: 0.9 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 0.5, 1.5, 2.0, 1.2)
SSIM: 0.397007 | Omega: 0.8 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.0, 1.5, 1.2)
SSIM: 0.394201 | Omega: 0.85 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 0.5, 1.5, 2.0, 1.2)
SSIM: 0.394136 | Omega: 0.9 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 0.5, 1.5, 2.0, 1.2)
SSIM: 0.391709 | Omega: 0.8 | Scales: (1.0, 2.0, 3.0, 4.0) | Freqs: (0.1, 0.5, 1.5, 2.0, 1.2)
SSIM: 0.390840 | Omega: 0.85 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 0.5, 1.5, 2.0, 1.2)
SSIM: 0.390299 | Omega: 0.9 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.5, 2.0, 1.2)
SSIM: 0.388272 | Omega: 0.8 | Scales: (1.0, 2.0, 3.0, 5.0) | Freqs: (0.1, 0.5, 1.5, 2.0, 1.2)
SSIM: 0.387775 | Omega: 0.9 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.5, 2.0, 1.2)
SSIM: 0.386905 | Omega: 0.85 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.5, 2.0, 1.2)
SSIM: 0.385678 | Omega: 0.9 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.5, 2.0, 1.2)
SSIM: 0.384227 | Omega: 0.8 | Scales: (2.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.5, 2.0, 1.2)
SSIM: 0.384173 | Omega: 0.85 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.5, 2.0, 1.2)
SSIM: 0.382038 | Omega: 0.85 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.5, 2.0, 1.2)
SSIM: 0.381434 | Omega: 0.8 | Scales: (1.0, 2.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.5, 2.0, 1.2)
SSIM: 0.379225 | Omega: 0.8 | Scales: (1.0, 3.0, 4.0, 5.0) | Freqs: (0.1, 0.5, 1.5, 2.0, 1.2)
