Results for main.py
--------------------------------------------------------------------------------
SSIM: 0.410210 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 3.5, 5.0, 6.5)
SSIM: 0.410434 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 3.5, 5.0, 7.5)
SSIM: 0.399453 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 3.5, 6.0, 6.5)
SSIM: 0.399760 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 3.5, 6.0, 7.5)
SSIM: 0.295158 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 3.5, 6.5, 7.5)
SSIM: 0.426331 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 4.0, 5.0, 6.0)
SSIM: 0.425182 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 4.0, 5.0, 6.5)
SSIM: 0.425205 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 4.0, 5.0, 7.5)
SSIM: 0.424468 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 4.0, 6.0, 6.5)
SSIM: 0.424520 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 4.0, 6.0, 7.5)
SSIM: 0.418985 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 4.0, 6.5, 7.5)
SSIM: 0.422989 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 5.0, 6.0, 6.5)
SSIM: 0.423052 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 5.0, 6.0, 7.5)
SSIM: 0.411889 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 5.0, 6.5, 7.5)
SSIM: 0.401889 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 2.5, 6.0, 6.5, 7.5)
SSIM: 0.426602 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 3.5, 4.0, 5.0, 6.0)
SSIM: 0.425559 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 3.5, 4.0, 5.0, 6.5)
SSIM: 0.425607 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 3.5, 4.0, 5.0, 7.5)
SSIM: 0.425008 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 3.5, 4.0, 6.0, 6.5)
SSIM: 0.425035 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 3.5, 4.0, 6.0, 7.5)
SSIM: 0.420135 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 3.5, 4.0, 6.5, 7.5)
SSIM: 0.423768 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 3.5, 5.0, 6.0, 6.5)
SSIM: 0.423833 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 3.5, 5.0, 6.0, 7.5)
SSIM: 0.413806 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 3.5, 5.0, 6.5, 7.5)
SSIM: 0.404933 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 3.5, 6.0, 6.5, 7.5)
SSIM: 0.426700 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 4.0, 5.0, 6.0, 6.5)
SSIM: 0.426709 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 4.0, 5.0, 6.0, 7.5)
SSIM: 0.425770 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 4.0, 5.0, 6.5, 7.5)
SSIM: 0.425308 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 4.0, 6.0, 6.5, 7.5)
SSIM: 0.424261 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (0.5, 5.0, 6.0, 6.5, 7.5)
SSIM: 0.426895 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.5, 3.5, 4.0, 5.0)
SSIM: 0.426893 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.5, 3.5, 4.0, 6.0)
SSIM: 0.426944 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.5, 3.5, 4.0, 6.5)
SSIM: 0.426937 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.5, 3.5, 4.0, 7.5)
SSIM: 0.426914 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.5, 3.5, 5.0, 6.0)
SSIM: 0.426972 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.5, 3.5, 5.0, 6.5)
SSIM: 0.426957 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.5, 3.5, 5.0, 7.5)
SSIM: 0.426964 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.5, 3.5, 6.0, 6.5)
SSIM: 0.426952 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.5, 3.5, 6.0, 7.5)
SSIM: 0.426989 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.5, 3.5, 6.5, 7.5)
SSIM: 0.426863 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.5, 4.0, 5.0, 6.0)
SSIM: 0.426873 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.5, 4.0, 5.0, 6.5)
SSIM: 0.426870 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.5, 4.0, 5.0, 7.5)
SSIM: 0.426867 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.5, 4.0, 6.0, 6.5)
SSIM: 0.426865 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.5, 4.0, 6.0, 7.5)
SSIM: 0.426875 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.5, 4.0, 6.5, 7.5)
SSIM: 0.426887 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.5, 5.0, 6.0, 6.5)
SSIM: 0.426887 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.5, 5.0, 6.0, 7.5)
SSIM: 0.426917 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.5, 5.0, 6.5, 7.5)
SSIM: 0.426909 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 2.5, 6.0, 6.5, 7.5)
SSIM: 0.426821 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 3.5, 4.0, 5.0, 6.0)
SSIM: 0.426876 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 3.5, 4.0, 5.0, 6.5)
SSIM: 0.426855 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 3.5, 4.0, 5.0, 7.5)
SSIM: 0.426867 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 3.5, 4.0, 6.0, 6.5)
SSIM: 0.426855 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 3.5, 4.0, 6.0, 7.5)
SSIM: 0.426874 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 3.5, 4.0, 6.5, 7.5)
SSIM: 0.426883 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 3.5, 5.0, 6.0, 6.5)
SSIM: 0.426883 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 3.5, 5.0, 6.0, 7.5)
SSIM: 0.426890 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 3.5, 5.0, 6.5, 7.5)
SSIM: 0.426892 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 3.5, 6.0, 6.5, 7.5)
SSIM: 0.426822 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 4.0, 5.0, 6.0, 6.5)
SSIM: 0.426810 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 4.0, 5.0, 6.0, 7.5)
SSIM: 0.426801 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 4.0, 5.0, 6.5, 7.5)
SSIM: 0.426804 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 4.0, 6.0, 6.5, 7.5)
SSIM: 0.426833 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (1.0, 5.0, 6.0, 6.5, 7.5)
SSIM: 0.426971 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (2.5, 3.5, 4.0, 5.0, 6.0)
SSIM: 0.426968 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (2.5, 3.5, 4.0, 5.0, 6.5)
SSIM: 0.426958 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (2.5, 3.5, 4.0, 5.0, 7.5)
SSIM: 0.426875 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (2.5, 3.5, 4.0, 6.0, 6.5)
SSIM: 0.426831 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (2.5, 3.5, 4.0, 6.0, 7.5)
SSIM: 0.426320 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (2.5, 3.5, 4.0, 6.5, 7.5)
SSIM: 0.426962 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (2.5, 3.5, 5.0, 6.0, 6.5)
SSIM: 0.426953 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (2.5, 3.5, 5.0, 6.0, 7.5)
SSIM: 0.425936 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (2.5, 3.5, 5.0, 6.5, 7.5)
SSIM: 0.424180 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (2.5, 3.5, 6.0, 6.5, 7.5)
SSIM: 0.426922 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (2.5, 4.0, 5.0, 6.0, 6.5)
SSIM: 0.426922 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (2.5, 4.0, 5.0, 6.0, 7.5)
SSIM: 0.426937 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (2.5, 4.0, 5.0, 6.5, 7.5)
SSIM: 0.426827 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (2.5, 4.0, 6.0, 6.5, 7.5)
SSIM: 0.426916 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (2.5, 5.0, 6.0, 6.5, 7.5)
SSIM: 0.426964 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (3.5, 4.0, 5.0, 6.0, 6.5)
SSIM: 0.426931 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (3.5, 4.0, 5.0, 6.0, 7.5)
SSIM: 0.427013 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (3.5, 4.0, 5.0, 6.5, 7.5)
SSIM: 0.427017 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (3.5, 4.0, 6.0, 6.5, 7.5)
SSIM: 0.427202 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (3.5, 5.0, 6.0, 6.5, 7.5)
SSIM: 0.426838 | Omega: 0.99 | Scales: (2.0, 8.0, 9.0, 10.0) | Freqs: (4.0, 5.0, 6.0, 6.5, 7.5)
